Dataset,Iteration,accuracy,percentage
heart,1,0.640776699029,5
heart,2,0.68932038835,5
heart,3,0.73786407767,5
heart,4,0.747572815534,5
heart,5,0.533980582524,5
heart,6,0.679611650485,5
heart,7,0.747572815534,5
heart,8,0.572815533981,5
heart,9,0.68932038835,5
heart,10,0.543689320388,5
heart,1,0.728155339806,10
heart,2,0.621359223301,10
heart,3,0.592233009709,10
heart,4,0.776699029126,10
heart,5,0.699029126214,10
heart,6,0.631067961165,10
heart,7,0.640776699029,10
heart,8,0.699029126214,10
heart,9,0.747572815534,10
heart,10,0.728155339806,10
heart,1,0.718446601942,20
heart,2,0.73786407767,20
heart,3,0.73786407767,20
heart,4,0.660194174757,20
heart,5,0.669902912621,20
heart,6,0.679611650485,20
heart,7,0.776699029126,20
heart,8,0.796116504854,20
heart,9,0.660194174757,20
heart,10,0.669902912621,20
heart,1,0.660194174757,50
heart,2,0.718446601942,50
heart,3,0.718446601942,50
heart,4,0.68932038835,50
heart,5,0.650485436893,50
heart,6,0.68932038835,50
heart,7,0.73786407767,50
heart,8,0.660194174757,50
heart,9,0.699029126214,50
heart,10,0.640776699029,50
heart,1,0.68932038835,100
heart,2,0.68932038835,100
heart,3,0.68932038835,100
heart,4,0.68932038835,100
heart,5,0.68932038835,100
heart,6,0.68932038835,100
heart,7,0.68932038835,100
heart,8,0.68932038835,100
heart,9,0.68932038835,100
heart,10,0.68932038835,100
diabetes,1,0.67,5
diabetes,2,0.66,5
diabetes,3,0.69,5
diabetes,4,0.62,5
diabetes,5,0.67,5
diabetes,6,0.65,5
diabetes,7,0.76,5
diabetes,8,0.7,5
diabetes,9,0.57,5
diabetes,10,0.74,5
diabetes,1,0.64,10
diabetes,2,0.69,10
diabetes,3,0.72,10
diabetes,4,0.62,10
diabetes,5,0.61,10
diabetes,6,0.7,10
diabetes,7,0.65,10
diabetes,8,0.66,10
diabetes,9,0.61,10
diabetes,10,0.67,10
diabetes,1,0.61,20
diabetes,2,0.67,20
diabetes,3,0.61,20
diabetes,4,0.69,20
diabetes,5,0.67,20
diabetes,6,0.72,20
diabetes,7,0.71,20
diabetes,8,0.63,20
diabetes,9,0.65,20
diabetes,10,0.65,20
diabetes,1,0.64,50
diabetes,2,0.67,50
diabetes,3,0.61,50
diabetes,4,0.64,50
diabetes,5,0.64,50
diabetes,6,0.67,50
diabetes,7,0.67,50
diabetes,8,0.71,50
diabetes,9,0.73,50
diabetes,10,0.69,50
diabetes,1,0.69,100
diabetes,2,0.69,100
diabetes,3,0.69,100
diabetes,4,0.69,100
diabetes,5,0.69,100
diabetes,6,0.69,100
diabetes,7,0.69,100
diabetes,8,0.69,100
diabetes,9,0.69,100
diabetes,10,0.69,100
